name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Arch Manning,2023,76,215,QB,Isidore Newman,New Orleans,LA,//247sports.com/Player/arch-manning-46080533/,1,1,1,1,247,Texas
CJ Baxter,2023,73,215,RB,Edgewater,Orlando,FL,//247sports.com/Player/cj-baxter-46098809/,0.98,30,1,8,247,Texas
Rueben Owens,2023,71,190,RB,El Campo,El Campo,TX,//247sports.com/Player/rueben-owens-46086843/,0.98,31,2,4,247,Texas
Justice Haynes,2023,71,200,RB,Buford,Buford,GA,//247sports.com/Player/justice-haynes-46094657/,0.97,34,3,3,247,Texas
Richard Young,2023,71,200,RB,Lehigh Senior,Lehigh Acres,FL,//247sports.com/Player/richard-young-46094912/,0.95,108,7,26,247,Texas
Jeremiah Cobb,2023,71,185,RB,Montgomery Catholic Preparatory,Montgomery,AL,//247sports.com/Player/jeremiah-cobb-46104048/,0.92,217,11,16,247,Texas
A'Marion Peterson,2023,72,200,RB,Hirschi,Wichita Falls,TX,//247sports.com/Player/amarion-peterson-46103861/,0.9,NA,16,58,247,Texas
Cam Cook,2023,70,180,RB,Stony Point,Round Rock,TX,//247sports.com/Player/cam-cook-46125448/,0.9,NA,19,59,247,Texas
John Randle Jr.,2023,72,185,RB,Heights,Wichita,KS,//247sports.com/Player/john-randle-jr-46101528/,0.9,NA,23,4,247,Texas
Quintrevion Wisner,2023,71,180,RB,DeSoto,DeSoto,TX,//247sports.com/Player/quintrevion-wisner-46104003/,0.89,NA,28,73,247,Texas
Ja'Vin Simpkins,2023,69,183,RB,Norland,Miami,FL,//247sports.com/Player/javin-simpkins-46114256/,0.89,NA,32,87,247,Texas
Zachariah Branch,2023,70,172,WR,Bishop Gorman,Las Vegas,NV,//247sports.com/Player/zachariah-branch-46081171/,0.99,7,1,1,247,Texas
Carnell Tate,2023,74,180,WR,IMG Academy,Bradenton,FL,//247sports.com/Player/carnell-tate-46101461/,0.98,22,3,6,247,Texas
Brandon Inniss,2023,71,198,WR,American Heritage,Fort Lauderdale,FL,//247sports.com/Player/brandon-inniss-46058554/,0.97,35,5,9,247,Texas
Jalen Hale,2023,73,185,WR,Longview,Longview,TX,//247sports.com/Player/jalen-hale-46097269/,0.97,37,6,5,247,Texas
Johntay Cook II,2023,72,175,WR,DeSoto,DeSoto,TX,//247sports.com/Player/johntay-cook-ii-46086827/,0.97,38,7,6,247,Texas
Jaquaize Pettaway,2023,71,170,WR,Langham Creek,Houston,TX,//247sports.com/Player/jaquaize-pettaway-46097281/,0.96,56,10,8,247,Texas
Jalen Brown,2023,71,170,WR,Gulliver Prep,Miami,FL,//247sports.com/Player/jalen-brown-46085480/,0.95,91,14,19,247,Texas
DeAndre Moore Jr.,2023,72,185,WR,St. John Bosco,Bellflower,CA,//247sports.com/Player/deandre-moore-jr-46084735/,0.94,121,19,10,247,Texas
Braylon James,2023,74,185,WR,Stony Point,Round Rock,TX,//247sports.com/Player/braylon-james-46097448/,0.94,126,20,24,247,Texas
Ethan Davis,2023,77,230,WR,Collins Hill,Suwanee,GA,//247sports.com/Player/ethan-davis-46110318/,0.94,132,7,11,247,Texas
Ray Ray Joseph,2023,68,170,WR,Edison,Miami,FL,//247sports.com/Player/ray-ray-joseph-46099041/,0.94,151,23,35,247,Texas
Ashton Cozart,2023,75,193,WR,Marcus,Flower Mound,TX,//247sports.com/Player/ashton-cozart-46097895/,0.92,237,31,41,247,Texas
Ja'Kobi Lane,2023,76,175,WR,Red Mountain,Mesa,AZ,//247sports.com/Player/jakobi-lane-46114130/,0.92,NA,32,5,247,Texas
Jonah Wilson,2023,74,195,WR,Dekaney,Houston,TX,//247sports.com/Player/jonah-wilson-46111826/,0.91,NA,36,48,247,Texas
Bryson Rodgers,2023,72,175,WR,Wiregrass Ranch,Wesley Chapel,FL,//247sports.com/Player/bryson-rodgers-46110420/,0.9,NA,43,53,247,Texas
Jaden Greathouse,2023,73,220,WR,Westlake,Austin,TX,//247sports.com/Player/jaden-greathouse-46097197/,0.9,NA,44,54,247,Texas
Kyle Parker,2023,70,175,WR,Lovejoy,Lucas,TX,//247sports.com/Player/kyle-parker-46098346/,0.9,NA,53,64,247,Texas
Cayden Lee,2023,71,175,WR,Kennesaw Mountain,Acworth,GA,//247sports.com/Player/cayden-lee-46081305/,0.88,NA,86,66,247,Texas
Lafayette Kaiuway,2023,77,245,WR,Sam Houston,Arlington,TX,//247sports.com/Player/lafayette-kaiuway-46099828/,0.88,NA,30,88,247,Texas
Chase Hendricks,2023,71,185,WR,St. Mary's,St. Louis,MO,//247sports.com/Player/chase-hendricks-46099694/,0.86,NA,153,29,247,Texas
Santana Fleming,2023,70,160,WR,Western,Fort Lauderdale,FL,//247sports.com/Player/santana-fleming-46112719/,0.86,NA,168,164,247,Texas
Chris Palfreeman,2023,68,155,WR,All Saints Episcopal,Fort Worth,TX,//247sports.com/Player/chris-palfreeman-46099475/,0.84,NA,273,289,247,Texas
Duce Robinson,2023,78,225,TE,Pinnacle,Phoenix,AZ,//247sports.com/Player/duce-robinson-46086662/,0.98,19,1,1,247,Texas
Jaden Platt,2023,76,235,TE,Eaton,Haslet,TX,//247sports.com/Player/jaden-platt-46113077/,0.95,101,4,20,247,Texas
Ka'Morreun Pimpton,2023,78,220,TE,North Crowley,Fort Worth,TX,//247sports.com/Player/kamorreun-pimpton-46130497/,0.95,110,6,22,247,Texas
Riley Williams,2023,78,240,TE,IMG Academy,Bradenton,FL,//247sports.com/Player/riley-williams-46112989/,0.94,152,8,36,247,Texas
Walker Lyons,2023,76,230,TE,Folsom,Folsom,CA,//247sports.com/Player/walker-lyons-46099763/,0.94,158,9,12,247,Texas
Luke Hasz,2023,75,245,TE,Bixby,Bixby,OK,//247sports.com/Player/luke-hasz-46109964/,0.93,197,12,4,247,Texas
Jackson Bowers,2023,77,225,TE,Mountain View,Mesa,AZ,//247sports.com/Player/jackson-bowers-46113739/,0.9,NA,17,6,247,Texas
Mac Markway,2023,76,250,TE,DeSmet,St. Louis,MO,//247sports.com/Player/mac-markway-46083873/,0.9,NA,18,9,247,Texas
Connor Cox,2023,77,220,TE,The Bolles School,Jacksonville,FL,//247sports.com/Player/connor-cox-46129205/,0.88,NA,28,98,247,Texas
Spencer Shannon,2023,79,240,TE,Mater Dei,Santa Ana,CA,//247sports.com/Player/spencer-shannon-46125794/,0.87,NA,34,74,247,Texas
Chico Holt,2023,77,220,TE,Strake Jesuit,Houston,TX,//247sports.com/Player/chico-holt-46125777/,0.86,NA,56,197,247,Texas
Will Randle,2023,75,220,TE,Isidore Newman,New Orleans,LA,//247sports.com/Player/will-randle-46114603/,0.85,NA,75,53,247,Texas
Kadyn Proctor,2023,79,330,OT,Southeast Polk,Des Moines,IA,//247sports.com/Player/kadyn-proctor-46099829/,0.99,5,1,1,247,Texas
Francis Mauigoa,2023,77,330,OT,IMG Academy,Bradenton,FL,//247sports.com/Player/francis-mauigoa-46098908/,0.99,6,2,2,247,Texas
Lance Heard,2023,77,310,OT,Neville,Monroe,LA,//247sports.com/Player/lance-heard-46116355/,0.98,16,3,2,247,Texas
Lucas Simmons,2023,80,300,OT,Clearwater Academy International,Clearwater,FL,//247sports.com/Player/lucas-simmons-46116515/,0.96,61,9,13,247,Texas
