name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Devin Brown,2022,74,196,QB,Corner Canyon,Draper,UT,//247sports.com/Player/devin-brown-46084902/,0.97,44,5,2,247,Texas
Maalik Murphy,2022,76,225,QB,Junipero Serra,Gardena,CA,//247sports.com/Player/maalik-murphy-46079369/,0.93,197,9,14,247,Texas
Cade Klubnik,2022,74,186,QB,Westlake,Austin,TX,//247sports.com/Player/cade-klubnik-46056879/,0.98,13,2,3,247,Texas
Ty Simpson,2022,74,200,QB,Westview,Martin,TN,//247sports.com/Player/ty-simpson-46056473/,0.98,29,4,2,247,Texas
Raleek Brown,2022,68,185,RB,Mater Dei,Santa Ana,CA,//247sports.com/Player/raleek-brown-46053600/,0.96,69,3,7,247,Texas
Jamarion Miller,2022,70,195,RB,Tyler Legacy,Tyler,TX,//247sports.com/Player/jamarion-miller-46058624/,0.95,79,4,14,247,Texas
Le'Veon Moss,2022,72,190,RB,Istrouma,Baton Rouge,LA,//247sports.com/Player/leveon-moss-46082704/,0.95,93,5,7,247,Texas
Jaydon Blue,2022,71,205,RB,Klein Cain,Houston,TX,//247sports.com/Player/jaydon-blue-46085418/,0.95,101,6,18,247,Texas
TreVonte' Citizen,2022,72,217,RB,Lake Charles College Prep,Lake Charles,LA,//247sports.com/Player/trevonte-citizen-46085807/,0.94,133,8,11,247,Texas
Jadarian Price,2022,71,180,RB,Denison,Denison,TX,//247sports.com/Player/jadarian-price-46059477/,0.93,166,14,28,247,Texas
Kaytron Allen,2022,71,220,RB,IMG Academy,Bradenton,FL,//247sports.com/Player/kaytron-allen-46079018/,0.93,179,15,22,247,Texas
Jovantae Barnes,2022,72,190,RB,Desert Pines,Las Vegas,NV,//247sports.com/Player/jovantae-barnes-46094222/,0.93,191,16,4,247,Texas
Tavorus Jones,2022,70,195,RB,Burges,El Paso,TX,//247sports.com/Player/tavorus-jones-46101298/,0.93,203,18,33,247,Texas
Ollie Gordon II,2022,73,210,RB,Trinity,Euless,TX,//247sports.com/Player/ollie-gordon-ii-46096695/,0.88,NA,41,76,247,Texas
Terrance Gibbs,2022,72,190,RB,Winter Park,Winter Park,FL,//247sports.com/Player/terrance-gibbs-46056841/,0.87,NA,55,84,247,Texas
Jaylen Thompson,2022,69,180,RB,Bishop Alemany,Mission Hills,CA,//247sports.com/Player/jaylen-thompson-46081271/,0.86,NA,66,82,247,Texas
DeAnthony Gatson,2022,70,198,RB,Newton,Newton,TX,//247sports.com/Player/deanthony-gatson-46102363/,0.86,NA,68,125,247,Texas
Zach Evans,2022,69,200,RB,Rockwall-Heath,Rockwall,TX,//247sports.com/Player/zach-evans-46099201/,0.86,NA,69,128,247,Texas
Max Garrison,2022,70,183,RB,St. Francis,La Canada Flintridge,CA,//247sports.com/Player/max-garrison-46079635/,0.86,NA,69,87,247,Texas
Evan Stewart,2022,72,175,WR,Liberty,Frisco,TX,//247sports.com/Player/evan-stewart-46096676/,0.99,6,1,2,247,Texas
