name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Shea Patterson,2016,73,192,QB,IMG Academy,Bradenton,FL,//247sports.com/Player/shea-patterson-27311/,0.99,3,1,1,247,Texas
Malik Henry,2016,75,185,QB,Long Beach Poly,Long Beach,CA,//247sports.com/Player/malik-henry-37025/,0.96,53,4,7,247,Texas
Dwayne Haskins,2016,75,198,QB,The Bullis School,Potomac,MD,//247sports.com/Player/dwayne-haskins-54144/,0.95,62,5,2,247,Texas
Zach Smith,2016,75,223,QB,Grandview,Grandview,TX,//247sports.com/Player/zach-smith-44677/,0.88,NA,16,63,247,Texas
Bowman Sells,2016,75,200,QB,Lovejoy,Lucas,TX,//247sports.com/Player/bowman-sells-28095/,0.85,NA,39,138,247,Texas
Feleipe Franks,2016,77,210,QB,Wakulla,Crawfordville,FL,//247sports.com/Player/feleipe-franks-26082/,0.95,77,6,9,247,Texas
Woody Barrett,2016,74,225,QB,West Orange,Winter Garden,FL,//247sports.com/Player/woody-barrett-25555/,0.92,NA,5,33,247,Texas
Tristen Wallace,2016,75,228,QB,DeSoto,DeSoto,TX,//247sports.com/Player/tristen-wallace-33744/,0.91,NA,13,39,247,Texas
Shane Buechele,2016,74,185,QB,Lamar,Arlington,TX,//247sports.com/Player/shane-buechele-51368/,0.9,NA,8,45,247,Texas
Seth Green,2016,76,216,QB,Allen,Allen,TX,//247sports.com/Player/seth-green-33697/,0.86,NA,22,117,247,Texas
Xavier Gaines,2016,74,200,QB,Lake Wales,Lake Wales,FL,//247sports.com/Player/xavier-gaines-27915/,0.84,NA,29,148,247,Texas
Devwah Whaley,2016,72,209,RB,Beaumont Central,Beaumont,TX,//247sports.com/Player/devwah-whaley-33409/,0.94,125,3,21,247,Texas
Kyle Porter,2016,71,208,RB,Katy,Katy,TX,//247sports.com/Player/kyle-porter-37371/,0.9,NA,10,43,247,Texas
Darius Anderson,2016,71,196,RB,George Ranch,Richmond,TX,//247sports.com/Player/darius-anderson-37382/,0.9,NA,11,44,247,Texas
Kam Martin,2016,70,178,RB,Memorial,Port Arthur,TX,//247sports.com/Player/kam-martin-19566/,0.87,NA,9,79,247,Texas
Brandon Stephens,2016,72,201,RB,Plano,Plano,TX,//247sports.com/Player/brandon-stephens-36368/,0.87,NA,40,95,247,Texas
Trayveon Williams,2016,69,185,RB,C.E. King,Houston,TX,//247sports.com/Player/trayveon-williams-55099/,0.89,NA,8,51,247,Texas
A.J. Brown,2016,73,220,WR,Starkville,Starkville,MS,//247sports.com/Player/aj-brown-37735/,0.96,47,5,2,247,Texas
Devin Duvernay,2016,71,195,WR,Sachse,Sachse,TX,//247sports.com/Player/devin-duvernay-38723/,0.95,72,9,7,247,Texas
Donnie Corley,2016,74,185,WR,Martin Luther King,Detroit,MI,//247sports.com/Player/donnie-corley-35389/,0.94,115,14,3,247,Texas
Tren'Davian Dickson,2016,71,163,WR,Navasota,Navasota,TX,//247sports.com/Player/trendavian-dickson-32690/,0.93,159,29,27,247,Texas
Collin Johnson,2016,78,200,WR,Valley Christian,San Jose,CA,//247sports.com/Player/collin-johnson-43002/,0.93,175,32,23,247,Texas
Stephen Sullivan,2016,77,230,WR,Donaldsonville,Donaldsonville,LA,//247sports.com/Player/stephen-sullivan-33698/,0.92,204,38,13,247,Texas
Dee Anderson,2016,77,205,WR,DeSoto,DeSoto,TX,//247sports.com/Player/dee-anderson-58951/,0.92,211,39,33,247,Texas
Tre Nixon,2016,73,170,WR,Viera,Melbourne,FL,//247sports.com/Player/tre-nixon-58441/,0.89,NA,61,45,247,Texas
Eddie McDoom,2016,71,170,WR,West Orange,Winter Garden,FL,//247sports.com/Player/eddie-mcdoom-63308/,0.88,NA,68,57,247,Texas
Mykel Jones,2016,72,180,WR,Patterson,Patterson,LA,//247sports.com/Player/mykel-jones-23476/,0.88,NA,73,27,247,Texas
Darnell Salomon,2016,75,210,WR,Miami Central,Miami,FL,//247sports.com/Player/darnell-salomon-24070/,0.87,NA,93,77,247,Texas
Reggie Hemphill-Mapps,2016,73,172,WR,Manvel,Manvel,TX,//247sports.com/Player/reggie-hemphill-mapps-23451/,0.87,NA,97,88,247,Texas
Davion Curtis,2016,71,180,WR,Temple,Temple,TX,//247sports.com/Player/davion-curtis-79953/,0.84,NA,180,158,247,Texas
Isaac Nauta,2016,75,244,TE,IMG Academy,Bradenton,FL,//247sports.com/Player/isaac-nauta-26511/,0.96,40,1,4,247,Texas
Kaden Smith,2016,77,235,TE,Marcus,Flower Mound,TX,//247sports.com/Player/kaden-smith-23127/,0.95,83,2,12,247,Texas
Jamal Pettigrew,2016,78,229,TE,St. Augustine,New Orleans,LA,//247sports.com/Player/jamal-pettigrew-33524/,0.92,NA,10,14,247,Texas
Nick Eubanks,2016,78,230,TE,American Heritage,Fort Lauderdale,FL,//247sports.com/Player/nick-eubanks-76239/,0.91,NA,11,36,247,Texas
Irv Smith Jr.,2016,76,230,TE,Brother Martin,New Orleans,LA,//247sports.com/Player/irv-smith-jr-78730/,0.87,NA,31,37,247,Texas
Kelvin Lucky,2016,77,228,TE,Edgewood Academy,Elmore,AL,//247sports.com/Player/kelvin-lucky-85844/,0.86,NA,48,27,247,Texas
Zarrian Holcombe,2016,77,215,TE,Summer Creek,Humble,TX,//247sports.com/Player/zarrian-holcombe-77094/,0.86,NA,39,115,247,Texas
Donte Coleman,2016,76,219,TE,West Mesquite,Mesquite,TX,//247sports.com/Player/donte-coleman-36523/,0.84,NA,53,148,247,Texas
Peyton Aucoin,2016,76,255,TE,Brother Martin,New Orleans,LA,//247sports.com/Player/peyton-aucoin-80197/,0.84,NA,59,60,247,Texas
Jack Stoll,2016,77,225,TE,Regis Jesuit,Aurora,CO,//247sports.com/Player/jack-stoll-81265/,0.84,NA,60,5,247,Texas
Greg Little,2016,77,305,OT,Allen,Allen,TX,//247sports.com/Player/greg-little-35283/,0.98,5,1,1,247,Texas
Ben Cleveland,2016,78,319,OT,Stephens County,Toccoa,GA,//247sports.com/Player/ben-cleveland-26703/,0.98,15,4,2,247,Texas
Patrick Hudson,2016,77,325,OT,Silsbee,Silsbee,TX,//247sports.com/Player/patrick-hudson-29639/,0.95,82,4,11,247,Texas
Kellen Diesch,2016,79,270,OT,Byron Nelson,Trophy Club,TX,//247sports.com/Player/kellen-diesch-36475/,0.95,101,12,17,247,Texas
Jean Delance,2016,77,291,OT,North Mesquite,Mesquite,TX,//247sports.com/Player/jean-delance-76869/,0.94,153,17,24,247,Texas
Austin Myers,2016,77,295,OT,Manvel,Manvel,TX,//247sports.com/Player/austin-myers-63310/,0.93,195,20,31,247,Texas
Willie Allen,2016,79,300,OT,John Curtis,New Orleans,LA,//247sports.com/Player/willie-allen-23486/,0.9,NA,32,19,247,Texas
Austin Anderson,2016,76,285,OT,Mineola,Mineola,TX,//247sports.com/Player/austin-anderson-62957/,0.88,NA,38,60,247,Texas
JP Urquidez,2016,77,300,OT,Copperas Cove,Copperas Cove,TX,//247sports.com/Player/jp-urquidez-35185/,0.87,NA,49,78,247,Texas
Tope Imade,2016,76,327,OT,Bowie,Arlington,TX,//247sports.com/Player/tope-imade-61726/,0.86,NA,31,101,247,Texas
Riley Anderson,2016,77,285,OT,Mineola,Mineola,TX,//247sports.com/Player/riley-anderson-62956/,0.85,NA,89,126,247,Texas
Ryan McCollum,2016,78,270,OT,Klein Oak,Spring,TX,//247sports.com/Player/ryan-mccollum-59785/,0.82,NA,136,198,247,Texas
Donavaughn Campbell,2016,76,347,IOL,Ponchatoula,Ponchatoula,LA,//247sports.com/Player/donavaughn-campbell-52546/,0.93,160,6,9,247,Texas
Chris Owens,2016,74,312,IOL,Lamar,Arlington,TX,//247sports.com/Player/chris-owens-65619/,0.92,221,9,35,247,Texas
Denzel Okafor,2016,76,295,IOL,Lewisville,Lewisville,TX,//247sports.com/Player/denzel-okafor-75367/,0.92,243,12,36,247,Texas
Parker Boudreaux,2016,76,287,IOL,Bishop Moore Catholic,Orlando,FL,//247sports.com/Player/parker-boudreaux-42650/,0.92,NA,13,34,247,Texas
Michael Eletise,2016,76,313,IOL,Kaiser,Honolulu,HI,//247sports.com/Player/michael-eletise-70714/,0.92,NA,14,2,247,Texas
Zach Shackelford,2016,75,290,IOL,Belton,Belton,TX,//247sports.com/Player/zach-shackelford-35184/,0.8,NA,97,226,247,Texas
Brian Burns,2016,76,209,DL,American Heritage,Fort Lauderdale,FL,//247sports.com/Player/brian-burns-61728/,0.98,22,2,3,247,Texas
Antonneous Clayton,2016,75,218,DL,Dooly County,Vienna,GA,//247sports.com/Player/antonneous-clayton-80721/,0.96,50,6,7,247,Texas
Ray Thornton,2016,75,225,DL,Shoemaker,Killeen,TX,//247sports.com/Player/ray-thornton-79514/,0.93,189,15,30,247,Texas
Brandon Bowen,2016,77,227,DL,Byron Nelson,Trophy Club,TX,//247sports.com/Player/brandon-bowen-69311/,0.92,NA,19,37,247,Texas
Mark Jackson Jr.,2016,74,221,DL,Steele,Cibolo,TX,//247sports.com/Player/mark-jackson-jr-37489/,0.91,NA,20,40,247,Texas
Alton Robinson,2016,74,235,DL,Judson,Converse,TX,//247sports.com/Player/alton-robinson-77877/,0.89,NA,27,47,247,Texas
Derrick Brown,2016,75,317,DL,Lanier,Buford,GA,//247sports.com/Player/derrick-brown-36984/,0.98,6,3,1,247,Texas
Ed Oliver,2016,74,277,DL,Westfield,Houston,TX,//247sports.com/Player/ed-oliver-30459/,0.98,7,4,2,247,Texas
Jordan Elliott,2016,75,306,DL,Westside,Houston,TX,//247sports.com/Player/jordan-elliott-65210/,0.95,70,10,6,247,Texas
Kendell Jones,2016,77,375,DL,Shoemaker,Killeen,TX,//247sports.com/Player/kendell-jones-36873/,0.95,79,11,10,247,Texas
Ross Blacklock,2016,76,326,DL,Elkins,Missouri City,TX,//247sports.com/Player/ross-blacklock-50985/,0.94,140,18,22,247,Texas
Glen Logan,2016,76,290,DL,Destrehan,Destrehan,LA,//247sports.com/Player/glen-logan-36593/,0.94,148,19,7,247,Texas
Stephon Taylor,2016,76,292,DL,McDonogh 35,New Orleans,LA,//247sports.com/Player/stephon-taylor-37745/,0.91,NA,26,16,247,Texas
Michail Carter,2016,76,302,DL,Jackson,Jackson,GA,//247sports.com/Player/michail-carter-57101/,0.9,NA,27,24,247,Texas
Keyshon Camp,2016,76,275,DL,Lake Gibson,Lakeland,FL,//247sports.com/Player/keyshon-camp-45062/,0.9,NA,29,41,247,Texas
Michael Williams,2016,73,305,DL,All Saints Episcopal,Fort Worth,TX,//247sports.com/Player/michael-williams-38809/,0.88,NA,32,54,247,Texas
Chris Daniels,2016,75,299,DL,Trinity,Euless,TX,//247sports.com/Player/chris-daniels-31899/,0.88,NA,33,59,247,Texas
D'Andre Christmas,2016,75,290,DL,St. Augustine,New Orleans,LA,//247sports.com/Player/dandre-christmas-80063/,0.88,NA,38,26,247,Texas
