name,year,height,weight,position,school,city,state,profile_link,score,nat_rank,pos_rank,state_rank,website,school_offer
Jerrod Heard,2014,74,190,QB,Guyer,Denton,TX,//247sports.com/Player/jerrod-heard-11842/,0.96,79,1,8,247,Texas
Leonard Fournette,2014,73,226,RB,St. Augustine,New Orleans,LA,//247sports.com/Player/leonard-fournette-14147/,1.01,2,1,1,247,Texas
Dalvin Cook,2014,71,190,RB,Miami Central,Miami,FL,//247sports.com/Player/dalvin-cook-16619/,0.99,12,2,1,247,Texas
Nick Chubb,2014,71,216,RB,Cedartown,Cedartown,GA,//247sports.com/Player/nick-chubb-19986/,0.99,17,4,1,247,Texas
Joe Mixon,2014,74,195,RB,Freedom,Oakley,CA,//247sports.com/Player/joe-mixon-22521/,0.98,27,1,3,247,Texas
Duke Catalon,2014,71,190,RB,Aldine Eisenhower,Houston,TX,//247sports.com/Player/duke-catalon-13596/,0.94,161,12,19,247,Texas
Auston Anderson,2014,69,180,RB,Plano West,Plano,TX,//247sports.com/Player/auston-anderson-29149/,0.88,NA,30,50,247,Texas
Daniel Gresham,2014,69,236,RB,All Saints Episcopal,Fort Worth,TX,//247sports.com/Player/daniel-gresham-20088/,0.86,NA,3,91,247,Texas
D'Onta Foreman,2014,72,207,RB,Texas City,Texas City,TX,//247sports.com/Player/donta-foreman-20929/,0.84,NA,67,143,247,Texas
Tyreek Hill,2014,68,185,RB,Garden City C.C.,Garden City,KS,//247sports.com/Player/tyreek-hill-27414/,0.97,3,1,1,247,Texas
D'haquille Williams,2014,75,213,WR,Mississippi Gulf Coast C.C.,Perkinston,MS,//247sports.com/Player/dhaquille-williams-8133/,1,1,1,1,247,Texas
Speedy Noil,2014,70,176,WR,Edna Karr,New Orleans,LA,//247sports.com/Player/speedy-noil-14166/,1,6,1,3,247,Texas
KD Cannon,2014,72,162,WR,Mount Pleasant,Mount Pleasant,TX,//247sports.com/Player/kd-cannon-20106/,0.97,42,5,4,247,Texas
Trey Quinn,2014,73,200,WR,Barbe,Lake Charles,LA,//247sports.com/Player/trey-quinn-16974/,0.96,90,14,8,247,Texas
Armanti Foreman,2014,71,176,WR,Texas City,Texas City,TX,//247sports.com/Player/armanti-foreman-12923/,0.94,142,20,15,247,Texas
Lorenzo Joe,2014,74,196,WR,Cooper,Abilene,TX,//247sports.com/Player/lorenzo-joe-14139/,0.9,NA,44,28,247,Texas
